iter	Passed	Remaining
0	1	1897
1	5	2679
2	7	2493
3	9	2344
4	10	2175
5	12	2045
6	13	1941
7	14	1857
8	16	1795
9	19	1930
10	21	1924
11	23	1924
12	25	1910
13	26	1886
14	28	1852
15	30	1852
16	31	1847
17	38	2107
18	40	2075
19	41	2037
20	42	1996
21	44	1959
22	45	1933
23	46	1910
24	48	1897
25	50	1874
26	51	1847
27	52	1820
28	53	1793
29	54	1769
30	56	1754
31	57	1734
32	58	1718
33	60	1718
34	62	1720
35	63	1705
36	64	1688
37	66	1672
38	67	1656
39	68	1640
40	69	1625
41	70	1611
42	71	1598
43	73	1591
44	75	1593
45	76	1587
46	77	1576
47	78	1565
48	80	1562
49	81	1553
50	82	1543
51	84	1533
52	85	1523
53	86	1514
54	87	1506
55	89	1502
56	90	1496
57	91	1487
58	92	1479
59	93	1470
60	94	1461
61	96	1453
62	97	1445
63	98	1438
64	99	1430
65	100	1425
66	101	1419
67	103	1419
68	104	1416
69	106	1410
70	107	1404
71	108	1398
72	109	1392
73	110	1386
74	111	1380
75	113	1375
76	114	1373
77	115	1368
78	117	1365
79	118	1364
80	119	1361
81	121	1357
82	121	1346
83	123	1342
84	124	1338
85	125	1335
86	126	1331
87	128	1327
88	129	1322
89	130	1318
90	132	1321
91	133	1318
92	134	1314
93	135	1309
94	137	1305
95	138	1301
96	139	1298
97	141	1298
98	142	1298
99	143	1295
100	145	1291
101	146	1290
102	148	1291
103	149	1288
104	150	1286
105	152	1282
106	153	1281
107	154	1278
108	156	1275
109	157	1272
110	158	1269
111	159	1267
112	161	1267
113	162	1264
114	163	1261
115	165	1258
116	166	1253
117	167	1251
118	168	1248
119	169	1244
120	171	1243
121	172	1239
122	174	1241
123	175	1242
124	177	1239
125	178	1236
126	179	1232
127	180	1233
128	182	1230
129	183	1227
130	184	1224
131	185	1221
132	186	1218
133	188	1217
134	190	1217
135	191	1215
136	192	1213
137	194	1212
138	195	1210
139	197	1214
140	199	1215
141	201	1215
142	202	1214
143	203	1212
144	205	1209
145	206	1208
146	208	1208
147	209	1207
148	210	1205
149	212	1203
150	213	1201
151	215	1203
152	217	1203
153	218	1201
154	220	1199
155	221	1197
156	222	1196
157	224	1194
158	225	1195
159	228	1199
160	229	1196
161	231	1196
162	232	1196
163	234	1196
164	236	1196
165	238	1196
166	239	1195
167	241	1194
168	243	1195
169	244	1193
170	245	1192
171	247	1189
172	248	1188
173	249	1186
174	251	1185
175	252	1184
176	255	1185
177	258	1192
178	260	1193
179	262	1194
180	264	1196
181	266	1197
182	268	1198
183	270	1198
184	271	1197
185	273	1197
186	275	1196
187	276	1195
188	278	1195
189	280	1196
190	283	1198
191	284	1198
192	286	1199
193	290	1208
194	292	1207
195	295	1212
196	297	1213
197	299	1213
198	301	1211
199	302	1210
200	304	1209
201	306	1209
202	308	1212
203	310	1211
204	312	1210
205	313	1207
206	314	1205
207	315	1203
208	317	1201
209	318	1199
210	320	1198
211	322	1197
212	323	1195
213	324	1192
214	326	1190
215	327	1188
216	328	1186
217	329	1183
218	331	1181
219	332	1178
220	333	1176
221	335	1175
222	336	1173
223	338	1171
224	339	1169
225	341	1167
226	342	1165
227	343	1163
228	353	1189
229	355	1189
230	358	1192
231	360	1192
232	362	1192
233	363	1191
234	365	1189
235	367	1188
236	368	1186
237	370	1185
238	371	1183
239	373	1183
240	376	1184
241	378	1185
242	380	1183
243	381	1182
244	383	1180
245	384	1178
246	385	1176
247	387	1173
248	388	1172
249	391	1173
250	392	1171
251	393	1169
252	395	1167
253	396	1165
254	398	1163
255	399	1161
256	400	1158
257	402	1157
258	404	1156
259	405	1154
260	407	1152
261	408	1151
262	410	1149
263	411	1147
264	412	1145
265	414	1143
266	416	1142
267	417	1140
268	418	1138
269	420	1137
270	422	1135
271	423	1133
272	424	1131
273	426	1128
274	427	1127
275	429	1126
276	431	1125
277	432	1123
278	434	1122
279	435	1120
280	436	1117
281	438	1115
282	439	1113
283	440	1110
284	441	1108
285	443	1106
286	444	1105
287	446	1103
288	447	1101
289	448	1098
290	450	1097
291	451	1094
292	452	1092
293	453	1090
294	455	1087
295	456	1086
296	458	1084
297	459	1082
298	460	1080
299	462	1078
300	463	1076
301	464	1073
302	465	1071
303	466	1069
304	468	1066
305	469	1064
306	470	1062
307	472	1060
308	473	1058
309	475	1057
310	476	1056
311	478	1054
312	479	1052
313	480	1050
314	482	1048
315	483	1046
316	484	1043
317	485	1041
318	486	1039
319	488	1037
320	489	1035
321	490	1032
322	491	1030
323	492	1027
324	493	1025
325	494	1023
326	496	1020
327	497	1018
328	498	1016
329	499	1014
330	500	1012
331	502	1010
332	503	1008
333	504	1005
334	505	1003
335	506	1001
336	507	999
337	508	996
338	510	994
339	511	992
340	512	990
341	513	988
342	516	989
343	518	988
344	519	986
345	520	984
346	521	982
347	522	979
348	524	977
349	525	975
350	526	972
351	527	971
352	529	970
353	530	968
354	531	966
355	533	964
356	534	962
357	536	961
358	537	960
359	539	958
360	540	957
361	542	956
362	544	954
363	545	953
364	547	951
365	548	950
366	550	948
367	551	946
368	552	945
369	554	943
370	556	943
371	557	941
372	559	939
373	560	937
374	561	935
375	562	933
376	563	931
377	564	929
378	565	927
379	567	925
380	569	924
381	570	922
382	571	920
383	572	918
384	573	916
385	574	914
386	576	912
387	577	910
388	578	909
389	580	907
390	581	905
391	582	903
392	583	901
393	584	899
394	586	897
395	587	895
396	588	893
397	589	891
398	591	890
399	593	889
400	594	888
401	596	886
402	597	885
403	598	883
404	600	881
405	601	879
406	602	878
407	603	876
408	605	874
409	606	873
410	608	871
411	609	869
412	610	868
413	612	866
414	613	864
415	614	862
416	615	860
417	616	858
418	618	857
419	619	855
420	620	853
421	622	852
422	623	850
423	624	848
424	626	847
425	627	846
426	629	844
427	630	842
428	631	840
429	632	838
430	634	837
431	635	835
432	637	834
433	638	832
434	639	830
435	640	828
436	641	826
437	642	824
438	644	823
439	645	821
440	646	819
441	647	817
442	648	815
443	650	814
444	652	813
445	653	811
446	654	810
447	655	808
448	657	806
449	658	804
450	659	803
451	661	801
452	662	800
453	664	798
454	665	797
455	666	795
456	668	793
457	669	791
458	670	790
459	671	788
460	673	787
461	674	785
462	675	783
463	676	781
464	678	780
465	680	779
466	681	777
467	682	776
468	685	775
469	686	774
470	688	772
471	689	771
472	690	769
473	692	768
474	693	766
475	695	765
476	696	763
477	698	762
478	699	761
479	701	759
480	702	757
481	703	756
482	705	755
483	707	754
484	708	752
485	710	751
486	711	749
487	713	748
488	714	746
489	716	745
490	717	743
491	718	742
492	720	741
493	722	739
494	723	738
495	725	737
496	727	735
497	728	734
498	729	732
499	731	731
500	733	730
501	735	729
502	736	728
503	738	726
504	739	724
505	740	723
506	742	721
507	743	719
508	744	718
509	745	716
510	747	715
511	748	713
512	750	712
513	751	710
514	752	708
515	753	707
516	755	705
517	756	703
518	757	702
519	758	700
520	760	698
521	762	698
522	764	696
523	765	695
524	767	694
525	769	693
526	770	691
527	771	690
528	773	688
529	775	687
530	777	686
531	779	685
532	780	684
533	782	682
534	783	681
535	784	679
536	785	677
537	787	676
538	789	675
539	791	673
